property_id,square_feet,bedrooms,bathrooms,location_type,property_age_years,garage_spaces,has_garden,distance_to_city_center_km,school_rating,price_in_lakhs
PROP-1371,2253,2,2,Suburban,6,2,Yes,6.8,5.8,91.37
PROP-1372,3498,5,4,Urban,10,1,No,5.3,7.7,172.59
PROP-1373,1047,1,1,Urban,30,2,No,4.2,4.1,41.19
PROP-1374,1950,4,3,Suburban,28,0,No,16.8,8.4,71.31
PROP-1375,1465,1,1,Rural,12,0,Yes,20.3,5.4,30.02
PROP-1376,2177,3,2,Suburban,30,1,Yes,12.9,5.2,69.17
PROP-1377,2569,4,3,Rural,1,1,Yes,23.5,6.6,82.11
PROP-1378,2065,3,2,Suburban,14,2,Yes,11.9,7.5,84.63
PROP-1379,1808,3,2,Suburban,10,0,Yes,11.5,7.1,66.75
PROP-1380,1868,2,1,Urban,33,2,No,2.2,5.6,78.81
PROP-1381,1050,2,1,Suburban,3,1,Yes,15.1,6.0,38.65
PROP-1382,1289,2,2,Suburban,10,1,Yes,11.4,5.0,47.07
PROP-1383,3754,5,3,Suburban,28,1,No,17.5,6.4,131.18
PROP-1384,3385,4,3,Suburban,1,1,Yes,9.1,8.5,138.76
PROP-1385,1109,2,1,Suburban,15,0,No,14.2,6.8,31.85
PROP-1386,1604,2,1,Urban,12,1,No,6.6,8.2,74.28
PROP-1387,1119,1,2,Suburban,16,2,No,14.0,9.1,41.44
PROP-1388,4096,5,4,Urban,20,1,No,6.2,5.9,194.73
PROP-1389,1695,2,1,Suburban,18,1,Yes,15.9,6.5,57.56
PROP-1390,3447,5,4,Urban,6,2,Yes,3.2,10.0,189.02
PROP-1391,2343,2,2,Urban,7,2,Yes,4.6,9.1,124.56
PROP-1392,2735,4,3,Suburban,12,1,Yes,7.9,4.1,100.91
PROP-1393,2927,3,2,Suburban,1,1,Yes,12.4,7.4,117.94
PROP-1394,4086,5,4,Suburban,10,2,Yes,8.8,6.8,167.01
PROP-1395,1212,2,1,Urban,23,1,No,5.5,8.1,53.9
PROP-1396,3135,4,3,Suburban,5,1,Yes,12.3,5.6,117.95
PROP-1397,2449,4,3,Urban,25,1,No,3.5,5.5,115.27
PROP-1398,4004,5,4,Rural,6,2,Yes,19.6,5.7,123.95
PROP-1399,2724,5,4,Rural,18,0,Yes,32.0,5.9,68.92
PROP-1400,875,1,1,Suburban,5,3,Yes,6.9,8.1,40.08
PROP-1401,3998,5,4,Urban,28,0,Yes,1.3,4.9,188.94
PROP-1402,1447,2,2,Suburban,1,2,Yes,8.6,5.8,63.19
PROP-1403,2981,3,2,Urban,18,1,Yes,6.8,3.9,136.2
PROP-1404,3576,5,3,Suburban,3,1,Yes,17.8,8.4,142.59
PROP-1405,1609,2,1,Urban,5,2,Yes,4.9,8.8,84.43
PROP-1406,2154,4,3,Rural,27,1,Yes,30.0,6.3,52.42
PROP-1407,1102,2,2,Urban,29,1,No,2.3,6.3,50.82
PROP-1408,3717,4,3,Suburban,6,0,No,17.7,7.5,135.43
PROP-1409,1465,2,2,Suburban,8,0,No,7.7,9.2,52.58
PROP-1410,1308,2,1,Suburban,24,1,Yes,7.2,7.5,47.28
PROP-1411,1196,2,1,Urban,32,2,No,1.7,5.7,48.35
PROP-1412,1865,3,2,Rural,0,0,Yes,24.7,4.2,51.08
PROP-1413,3770,5,4,Suburban,5,0,Yes,15.4,5.0,145.55
PROP-1414,666,1,1,Suburban,17,1,Yes,10.4,6.9,18.47
PROP-1415,3893,5,3,Urban,9,2,No,6.9,5.8,192.27
PROP-1416,1893,3,2,Suburban,27,2,Yes,11.2,7.1,68.13
PROP-1417,2855,4,2,Suburban,10,0,Yes,7.8,5.9,115.41
PROP-1418,3174,5,3,Urban,32,0,No,3.8,5.1,143.68
PROP-1419,1719,2,1,Urban,0,3,No,5.1,4.9,83.39
PROP-1420,4094,5,4,Suburban,12,1,Yes,16.0,9.3,157.66
PROP-1421,3215,5,4,Urban,19,2,Yes,3.8,8.2,167.56
PROP-1422,2796,4,3,Urban,0,2,No,4.6,9.6,147.46
PROP-1423,2418,3,3,Suburban,2,2,Yes,9.2,7.7,103.97
PROP-1424,1710,2,2,Suburban,17,0,No,13.8,6.1,61.1
PROP-1425,2977,4,3,Urban,13,2,No,6.9,8.9,146.98
PROP-1426,4070,5,4,Suburban,30,2,Yes,6.6,6.7,157.59
PROP-1427,3194,4,3,Urban,26,1,No,6.3,7.2,154.2
PROP-1428,951,1,1,Urban,16,1,Yes,4.4,6.7,47.78
PROP-1429,830,1,1,Urban,28,1,Yes,2.5,2.1,25.14
PROP-1430,1256,2,2,Suburban,25,0,Yes,17.5,9.4,44.96
PROP-1431,3820,5,4,Urban,16,1,No,3.9,7.6,183.12
PROP-1432,1349,3,2,Urban,21,1,Yes,3.0,7.3,75.46
PROP-1433,1642,1,1,Suburban,24,1,Yes,8.2,6.7,53.86
PROP-1434,1789,4,3,Suburban,1,1,Yes,8.9,7.1,91.92
PROP-1435,840,1,1,Urban,21,1,Yes,6.0,5.8,42.77
PROP-1436,2950,4,4,Suburban,4,2,Yes,13.4,7.8,121.28
PROP-1437,1630,2,1,Urban,3,3,Yes,6.5,4.7,85.57
PROP-1438,3625,5,4,Suburban,5,0,Yes,8.8,7.1,148.75
PROP-1439,2656,4,3,Suburban,20,1,Yes,7.5,7.7,108.86
PROP-1440,1834,2,1,Suburban,12,0,Yes,6.1,6.5,70.4
PROP-1441,3977,5,4,Urban,24,2,No,4.0,7.4,197.55
PROP-1442,4044,5,4,Urban,25,2,No,7.0,5.2,190.39
PROP-1443,777,1,1,Urban,19,3,No,5.2,5.3,35.02
PROP-1444,2715,3,3,Urban,32,1,No,2.9,7.2,123.82
PROP-1445,2466,4,3,Urban,13,3,No,6.3,7.9,130.87
PROP-1446,2408,5,4,Suburban,16,0,No,15.4,3.8,87.57
PROP-1447,3263,5,4,Rural,20,2,Yes,15.3,7.6,104.46
PROP-1448,1219,2,2,Rural,15,0,Yes,28.9,5.9,27.4
PROP-1449,1996,3,2,Rural,15,2,No,20.1,6.5,47.51
PROP-1450,2545,4,3,Suburban,19,1,No,7.8,4.7,95.03
PROP-1451,3383,5,3,Suburban,28,2,Yes,8.7,5.4,129.86
PROP-1452,1275,2,2,Urban,27,2,No,3.8,8.3,68.02
PROP-1453,4009,5,3,Suburban,7,0,Yes,11.1,6.9,150.11
PROP-1454,3551,5,3,Suburban,23,0,No,9.5,6.2,134.22
PROP-1455,2336,3,2,Suburban,2,2,Yes,8.1,6.6,98.84
PROP-1456,3659,5,3,Suburban,24,1,Yes,15.1,7.6,139.4
PROP-1457,804,1,1,Urban,18,0,No,6.9,7.5,38.64
PROP-1458,3187,5,4,Urban,32,1,No,5.7,6.7,152.06
PROP-1459,2059,4,2,Rural,1,1,No,20.0,8.5,66.16
PROP-1460,1434,2,2,Urban,14,0,No,2.5,8.4,71.22
PROP-1461,3825,5,4,Suburban,21,1,Yes,8.6,7.5,148.27
PROP-1462,4114,5,4,Rural,9,0,Yes,17.3,6.9,123.74
PROP-1463,895,2,2,Suburban,17,1,Yes,12.6,7.9,34.12
PROP-1464,3897,5,4,Suburban,21,2,Yes,13.3,7.3,151.95
PROP-1465,3760,4,3,Urban,26,3,No,5.2,8.5,173.96
PROP-1466,2150,3,2,Urban,12,2,No,5.1,8.2,110.22
PROP-1467,2355,4,3,Rural,32,0,Yes,20.0,5.2,58.33
PROP-1468,3456,5,3,Suburban,4,3,Yes,10.0,5.1,141.42
PROP-1469,1187,2,2,Suburban,25,1,Yes,14.2,5.7,40.29
PROP-1470,2540,4,3,Urban,12,0,No,3.1,8.4,121.57
PROP-1471,2491,4,2,Urban,26,3,No,2.3,4.3,125.53
PROP-1472,1570,2,2,Rural,13,2,Yes,21.4,7.4,45.97
PROP-1473,3105,5,3,Urban,23,2,Yes,2.6,7.4,156.96
PROP-1474,1174,1,1,Suburban,2,2,Yes,7.1,8.7,51.79
PROP-1475,3525,4,3,Urban,29,1,Yes,6.0,7.1,166.95
PROP-1476,2179,2,2,Suburban,34,1,Yes,16.2,4.7,73.1
PROP-1477,3600,5,3,Rural,13,2,No,18.7,5.3,107.91
PROP-1478,685,2,2,Suburban,11,1,Yes,6.8,4.9,33.31
PROP-1479,1334,1,1,Urban,27,1,No,5.4,5.9,55.76
PROP-1480,669,1,1,Suburban,28,2,Yes,8.5,6.5,21.67
PROP-1481,3018,4,3,Suburban,16,2,Yes,10.7,4.9,111.92
PROP-1482,3209,4,3,Suburban,20,1,Yes,6.8,9.2,127.51
PROP-1483,1049,2,1,Rural,22,2,No,18.8,4.7,19.32
PROP-1484,3351,4,4,Suburban,19,2,Yes,15.5,9.0,136.5
PROP-1485,1621,3,2,Rural,10,2,Yes,28.7,8.7,50.14
PROP-1486,2556,5,4,Suburban,33,1,Yes,8.5,8.2,107.24
PROP-1487,3168,3,2,Urban,9,1,No,3.0,5.7,154.62
PROP-1488,1816,2,2,Urban,9,1,Yes,1.8,7.3,93.12
PROP-1489,1765,3,2,Urban,5,0,No,1.4,4.8,79.92
PROP-1490,4075,5,4,Rural,23,1,Yes,31.9,8.3,118.59
PROP-1491,1483,2,1,Suburban,11,1,No,13.9,6.7,56.16
PROP-1492,2473,4,3,Suburban,22,1,Yes,12.5,6.1,88.94
PROP-1493,3424,4,3,Urban,26,3,No,5.6,4.8,166.6
PROP-1494,2632,3,2,Urban,5,0,Yes,6.0,2.8,124.85
PROP-1495,1503,3,2,Suburban,0,2,Yes,15.7,5.1,64.18
PROP-1496,700,1,1,Suburban,5,2,Yes,6.2,8.6,43.28
PROP-1497,1224,3,2,Urban,21,0,No,2.1,6.2,61.99
PROP-1498,3911,5,4,Suburban,23,3,Yes,13.9,6.5,155.05
PROP-1499,1798,3,3,Urban,24,1,No,3.3,7.8,89.49
PROP-1500,2847,4,3,Urban,14,1,No,6.9,9.7,144.06
PROP-1501,3011,4,3,Suburban,25,2,Yes,14.0,8.9,115.94
PROP-1502,3267,5,4,Urban,7,1,No,6.7,5.2,160.68
PROP-1503,4063,5,4,Rural,23,2,Yes,18.4,3.7,113.29
PROP-1504,3002,5,4,Urban,5,0,Yes,6.2,10.0,157.61
PROP-1505,2365,3,3,Urban,34,2,No,2.9,10.0,113.97
PROP-1506,1331,1,1,Urban,0,1,No,6.9,7.1,63.26
PROP-1507,1487,2,1,Suburban,11,2,No,7.9,4.8,54.98
PROP-1508,1727,2,2,Suburban,10,1,Yes,12.2,8.3,68.4
PROP-1509,3700,5,3,Suburban,11,2,No,15.5,6.6,142.87
PROP-1510,3141,4,3,Urban,6,2,Yes,3.6,6.6,156.26
PROP-1511,3310,4,4,Urban,10,1,No,3.8,8.2,165.1
PROP-1512,3690,5,4,Suburban,30,2,No,17.8,7.3,135.21
PROP-1513,2961,5,4,Suburban,32,1,Yes,11.1,4.9,108.78
PROP-1514,3774,5,4,Rural,12,2,No,25.3,6.3,108.48
PROP-1515,2245,3,3,Urban,17,1,No,1.3,7.9,106.36
PROP-1516,3701,4,3,Suburban,23,2,Yes,16.1,7.6,140.57
PROP-1517,654,1,1,Rural,8,2,No,26.0,7.2,15.0
PROP-1518,1776,2,2,Urban,30,1,No,3.4,8.3,82.87
PROP-1519,1869,2,2,Suburban,9,1,Yes,6.2,6.2,78.71
PROP-1520,1423,2,1,Urban,1,1,No,4.6,7.1,73.38
PROP-1521,1526,3,2,Rural,14,2,Yes,15.2,2.0,43.92
PROP-1522,1641,2,1,Suburban,2,1,Yes,6.0,6.1,68.56
PROP-1523,3581,5,4,Rural,30,1,No,25.5,8.0,98.98
PROP-1524,4071,5,4,Suburban,5,2,Yes,8.3,6.2,160.21
PROP-1525,696,2,1,Urban,2,1,Yes,2.2,6.1,40.39
PROP-1526,3564,5,4,Rural,10,2,Yes,26.1,5.1,111.49
PROP-1527,3520,5,3,Urban,14,1,No,1.3,8.4,166.77
PROP-1528,3633,5,4,Urban,27,0,No,2.9,7.7,172.12
PROP-1529,3353,5,4,Suburban,9,2,No,7.8,8.1,142.09
PROP-1530,918,1,1,Suburban,6,0,No,13.0,4.0,24.94
PROP-1531,1019,2,2,Rural,14,1,Yes,26.3,6.5,22.98
PROP-1532,1285,2,2,Urban,17,2,No,5.3,6.4,63.41
PROP-1533,1779,2,1,Suburban,17,1,No,9.1,6.4,60.38
PROP-1534,2343,4,3,Suburban,23,3,No,7.1,5.8,92.38
PROP-1535,2332,4,3,Urban,1,3,Yes,1.5,6.2,128.36
PROP-1536,1306,1,1,Urban,19,1,No,3.6,8.2,64.11
PROP-1537,769,2,2,Urban,33,0,No,6.7,3.7,28.6
PROP-1538,1480,2,1,Urban,25,2,No,2.3,9.6,72.67
PROP-1539,2460,3,2,Rural,6,1,Yes,19.4,7.6,69.59
PROP-1540,1731,3,2,Suburban,29,0,Yes,7.2,6.7,60.29
PROP-1541,2624,4,3,Suburban,4,2,Yes,13.3,8.3,110.96
PROP-1542,2019,2,2,Rural,10,0,Yes,26.6,4.5,49.31
PROP-1543,1390,2,1,Urban,0,2,No,4.9,5.7,68.3
PROP-1544,4195,5,4,Suburban,33,0,Yes,16.3,6.6,147.41
PROP-1545,766,2,2,Suburban,0,0,Yes,11.8,9.0,40.26
PROP-1546,2503,3,2,Rural,18,0,Yes,17.3,6.7,71.4
PROP-1547,3488,5,3,Urban,1,3,No,2.7,7.5,179.85
PROP-1548,1800,2,2,Rural,20,2,No,26.3,5.9,36.18
PROP-1549,4114,5,4,Urban,19,2,No,4.7,7.6,212.72
PROP-1550,2581,3,3,Urban,22,1,No,4.2,9.5,128.51
PROP-1551,1662,3,3,Suburban,20,1,Yes,14.2,8.4,65.36
PROP-1552,2314,3,2,Urban,23,1,No,4.8,6.7,110.12
PROP-1553,1731,2,2,Suburban,3,1,Yes,16.6,7.9,69.02
PROP-1554,1283,2,2,Suburban,11,1,Yes,13.0,7.7,55.2
PROP-1555,1162,2,2,Suburban,21,2,No,15.3,7.6,41.55
PROP-1556,3499,5,4,Urban,19,1,Yes,2.5,8.6,178.2
PROP-1557,1769,2,1,Urban,17,3,No,5.1,8.6,88.35
PROP-1558,1791,3,3,Urban,0,0,No,6.4,6.6,86.05
PROP-1559,1209,3,2,Suburban,29,3,Yes,10.6,7.8,57.81
PROP-1560,1137,1,1,Urban,32,0,No,5.7,6.2,37.51
PROP-1561,3958,5,3,Urban,23,1,No,5.3,5.3,179.79
PROP-1562,1546,2,2,Urban,13,1,No,1.4,6.4,75.15
PROP-1563,3993,5,4,Urban,4,1,No,4.5,6.7,194.7
PROP-1564,1862,2,2,Suburban,10,1,Yes,7.6,4.1,70.33
PROP-1565,1353,1,1,Rural,23,1,Yes,31.4,8.2,28.04
PROP-1566,2120,2,2,Urban,30,1,Yes,5.9,2.4,93.81
PROP-1567,1230,2,1,Suburban,12,2,Yes,7.3,10.0,60.03
PROP-1568,3487,5,4,Suburban,15,2,Yes,7.5,9.2,145.05
PROP-1569,3558,5,4,Suburban,23,2,Yes,13.1,6.4,138.31
PROP-1570,2944,4,3,Suburban,12,1,Yes,10.1,6.8,118.1
PROP-1571,3797,4,3,Suburban,23,2,Yes,6.4,7.3,141.43
PROP-1572,803,1,1,Suburban,25,1,Yes,12.5,5.9,25.24
PROP-1573,2329,3,2,Urban,1,1,Yes,3.3,7.1,116.87
PROP-1574,4156,5,4,Suburban,15,1,No,7.2,6.6,166.57
PROP-1575,1646,2,1,Suburban,0,1,No,15.6,6.6,59.04
PROP-1576,3807,5,4,Urban,10,0,No,6.5,7.1,183.68
PROP-1577,3394,4,3,Urban,34,1,Yes,5.5,4.7,152.98
PROP-1578,4006,5,4,Rural,28,0,Yes,29.0,6.9,104.66
PROP-1579,1893,2,2,Suburban,16,2,Yes,8.6,7.1,83.61
PROP-1580,1742,3,2,Suburban,27,2,Yes,9.2,7.0,70.95
PROP-1581,3768,5,4,Rural,28,3,No,18.5,6.5,103.64
PROP-1582,1658,2,1,Suburban,2,2,Yes,15.2,8.6,75.07
PROP-1583,2791,4,3,Suburban,9,0,Yes,17.4,6.2,109.25
PROP-1584,2423,5,4,Suburban,13,2,Yes,14.6,7.2,101.58
PROP-1585,1607,2,2,Rural,11,2,No,30.0,8.9,42.73
PROP-1586,3709,5,4,Suburban,29,1,No,13.7,6.7,134.62
PROP-1587,1102,2,1,Suburban,31,1,Yes,10.7,7.1,43.26
PROP-1588,1877,4,3,Urban,31,3,No,3.6,6.6,91.02
PROP-1589,3609,5,3,Rural,31,1,Yes,16.3,8.8,105.91
PROP-1590,2915,5,3,Suburban,25,3,Yes,6.4,6.4,117.59
PROP-1591,3171,5,3,Urban,0,0,No,5.2,8.9,156.44
PROP-1592,3129,4,3,Rural,1,0,No,22.5,6.6,96.6
PROP-1593,3038,4,2,Suburban,16,1,Yes,12.6,5.4,108.97
PROP-1594,1200,2,1,Urban,29,1,No,4.3,7.9,53.62
PROP-1595,2285,3,2,Suburban,6,2,Yes,9.3,6.3,87.97
PROP-1596,1962,3,3,Suburban,26,3,No,11.7,7.8,74.53
PROP-1597,3975,5,3,Rural,8,1,No,23.0,2.4,108.75
PROP-1598,2407,3,2,Urban,21,0,Yes,3.3,6.8,111.63
PROP-1599,1006,2,1,Suburban,33,2,Yes,15.8,6.1,32.43
PROP-1600,2720,3,2,Suburban,0,2,Yes,11.4,5.1,107.88
PROP-1601,2435,3,3,Urban,8,0,No,4.6,5.9,120.77
PROP-1602,3219,4,3,Rural,19,1,Yes,30.2,5.9,90.16
PROP-1603,2431,4,3,Suburban,18,2,Yes,16.4,6.7,93.05
PROP-1604,3821,5,4,Urban,3,2,No,6.3,4.6,189.38
PROP-1605,3499,5,4,Suburban,8,1,Yes,9.2,7.3,143.7
PROP-1606,3901,5,4,Rural,21,1,Yes,15.6,9.0,121.99
PROP-1607,3944,5,3,Urban,17,3,No,2.6,7.2,195.71
PROP-1608,3459,5,4,Urban,11,2,Yes,2.7,8.1,181.59
PROP-1609,3139,4,4,Urban,8,1,No,6.5,8.6,156.9
PROP-1610,2281,3,2,Urban,5,1,No,4.9,8.8,116.3
PROP-1611,3466,5,4,Suburban,18,2,No,7.0,9.8,145.9
PROP-1612,1665,3,2,Suburban,6,1,Yes,7.6,6.0,72.49
PROP-1613,1998,2,1,Urban,15,0,No,1.9,5.7,92.17
PROP-1614,1165,1,1,Urban,4,1,Yes,4.8,8.1,65.63
PROP-1615,3737,5,3,Urban,15,1,No,5.4,7.9,181.16
PROP-1616,3489,5,4,Rural,0,2,Yes,29.6,8.0,111.44
PROP-1617,985,1,1,Urban,18,0,No,6.6,9.8,40.7
PROP-1618,2432,4,3,Rural,16,2,Yes,18.4,6.8,79.97
PROP-1619,2955,4,2,Suburban,25,1,Yes,9.7,7.5,101.59
PROP-1620,1146,1,1,Urban,21,0,No,2.4,5.2,45.62
PROP-1621,1545,4,3,Rural,7,0,No,21.1,10.0,53.31
PROP-1622,2857,3,1,Suburban,32,3,Yes,17.0,6.3,95.49
PROP-1623,4196,5,4,Suburban,1,2,Yes,12.9,6.3,170.75
PROP-1624,1501,2,2,Rural,29,1,No,27.5,6.2,24.02
PROP-1625,2337,3,3,Urban,19,2,Yes,3.9,5.8,115.86
PROP-1626,2581,4,3,Urban,17,2,No,1.2,5.6,131.58
PROP-1627,3387,5,4,Suburban,9,3,Yes,6.8,6.0,143.78
PROP-1628,3077,5,4,Urban,23,1,No,4.2,4.6,139.32
PROP-1629,2218,3,3,Urban,3,2,Yes,5.3,5.5,113.58
PROP-1630,1606,3,2,Urban,3,0,Yes,2.3,9.9,94.45
PROP-1631,3388,5,3,Urban,12,1,No,5.3,8.0,169.04
PROP-1632,4148,5,4,Suburban,24,3,No,15.7,8.3,164.54
PROP-1633,2286,3,3,Urban,12,1,No,3.5,8.7,121.63
PROP-1634,1941,3,2,Suburban,17,1,No,15.0,9.7,71.83
PROP-1635,2090,2,1,Suburban,23,0,No,10.8,4.0,71.89
PROP-1636,1841,2,1,Suburban,1,2,No,14.1,4.8,67.63
PROP-1637,1716,2,1,Urban,32,2,No,5.6,5.5,69.58
PROP-1638,934,2,2,Suburban,18,1,No,17.9,6.0,25.61
PROP-1639,3094,4,3,Urban,8,3,No,3.1,6.3,149.46
PROP-1640,661,1,1,Suburban,27,0,Yes,10.9,6.1,21.75
PROP-1641,2280,3,2,Rural,34,1,Yes,17.8,7.2,64.21
PROP-1642,4023,5,3,Suburban,9,3,Yes,8.4,6.9,160.59
PROP-1643,3974,5,4,Suburban,0,1,No,14.3,5.6,152.82
PROP-1644,3196,4,3,Suburban,20,1,No,17.0,3.3,109.63
PROP-1645,1403,2,2,Urban,8,1,Yes,3.4,5.2,69.22
PROP-1646,2732,4,2,Rural,14,2,Yes,18.1,5.9,75.36
PROP-1647,3424,3,2,Rural,34,0,Yes,19.8,6.4,84.21
PROP-1648,3546,5,4,Urban,4,3,Yes,3.7,5.0,183.8
PROP-1649,739,1,1,Suburban,21,2,No,9.5,6.0,21.53
PROP-1650,1425,1,1,Rural,22,0,Yes,19.0,5.0,28.29
PROP-1651,3302,5,3,Rural,6,2,No,27.5,6.6,101.09
PROP-1652,3667,5,4,Suburban,22,1,Yes,6.1,5.1,140.71
PROP-1653,2275,2,1,Suburban,24,1,Yes,12.5,5.4,77.5
PROP-1654,3719,5,4,Urban,26,2,No,5.8,4.7,178.32
PROP-1655,1067,1,1,Rural,5,3,Yes,19.5,6.6,36.14
PROP-1656,764,1,1,Urban,33,0,Yes,4.6,5.4,24.95
PROP-1657,1266,2,1,Suburban,8,1,No,14.0,8.3,47.65
PROP-1658,3917,5,3,Urban,32,1,Yes,4.9,7.4,188.4
PROP-1659,1475,2,2,Urban,5,1,No,3.7,6.7,71.15
PROP-1660,2299,3,2,Suburban,30,1,Yes,10.2,5.5,85.19
PROP-1661,2166,3,2,Rural,33,0,Yes,29.2,7.4,52.47
PROP-1662,3796,5,4,Urban,28,2,Yes,5.6,7.9,184.8
PROP-1663,1062,1,1,Suburban,13,1,Yes,9.9,7.0,40.92
PROP-1664,4097,5,4,Urban,14,0,No,1.6,9.4,204.11
PROP-1665,4141,5,4,Urban,7,2,No,1.4,7.5,206.99
PROP-1666,1378,2,1,Suburban,25,2,Yes,7.1,8.3,56.44
PROP-1667,3998,5,4,Suburban,20,1,No,13.0,7.0,149.85
PROP-1668,3718,5,4,Urban,27,1,Yes,1.3,7.9,178.96
PROP-1669,3458,5,4,Urban,3,2,No,3.0,5.5,177.63
PROP-1670,1325,2,1,Urban,15,1,No,5.5,6.1,56.83
PROP-1671,4115,5,4,Urban,21,1,No,2.8,7.4,202.0
PROP-1672,2542,3,2,Rural,11,2,No,28.0,7.3,65.64
PROP-1673,3154,4,3,Rural,15,0,Yes,27.7,7.6,86.09
PROP-1674,3617,5,3,Urban,28,0,No,2.5,8.6,176.07
PROP-1675,2889,4,3,Suburban,17,0,Yes,14.7,4.5,106.0
PROP-1676,3436,5,3,Rural,9,0,No,27.7,5.2,87.55
PROP-1677,1772,2,1,Urban,17,0,No,3.4,7.2,76.66
PROP-1678,2221,3,2,Suburban,0,3,Yes,8.5,5.6,94.01
PROP-1679,1627,2,2,Rural,20,1,Yes,23.9,10.0,46.49
PROP-1680,1658,3,2,Urban,0,0,No,6.5,7.6,86.06
PROP-1681,2793,4,4,Urban,14,1,Yes,4.8,6.7,138.99
PROP-1682,2337,3,3,Rural,3,3,Yes,17.9,6.0,73.44
PROP-1683,3360,5,4,Suburban,19,1,Yes,14.2,6.0,130.05
PROP-1684,3911,5,3,Urban,9,1,No,3.6,6.8,190.6
PROP-1685,686,2,1,Urban,22,2,No,4.5,7.0,41.21
PROP-1686,4090,5,4,Suburban,33,1,Yes,14.8,6.1,149.11
PROP-1687,2198,3,3,Suburban,32,1,Yes,12.2,6.4,84.81
PROP-1688,2976,4,3,Suburban,33,1,Yes,15.8,9.0,105.47
PROP-1689,2914,4,3,Rural,9,1,Yes,27.3,9.0,81.84
PROP-1690,3564,5,3,Urban,19,1,No,4.7,7.2,167.76
PROP-1691,1522,3,2,Suburban,0,2,No,7.8,4.7,68.2
PROP-1692,2471,3,3,Suburban,12,1,Yes,16.0,7.7,102.08
PROP-1693,1946,3,3,Suburban,0,1,Yes,17.2,9.3,81.25
PROP-1694,2759,3,2,Urban,4,0,No,1.8,9.0,135.6
PROP-1695,1245,1,1,Rural,15,0,Yes,23.3,8.0,23.46
PROP-1696,2553,4,3,Rural,14,1,Yes,19.4,9.1,73.68
PROP-1697,1378,1,2,Suburban,27,3,Yes,15.1,6.9,52.07
PROP-1698,2015,4,2,Suburban,30,1,No,14.7,7.8,70.72
PROP-1699,1046,1,1,Urban,22,2,No,1.8,5.7,47.16
PROP-1700,1348,2,1,Suburban,16,1,No,16.5,7.3,39.22
PROP-1701,3740,5,4,Suburban,33,0,No,8.2,8.9,143.73
PROP-1702,2874,4,3,Suburban,12,0,Yes,15.6,5.9,105.57
PROP-1703,2285,2,2,Rural,13,1,Yes,22.8,5.4,61.38
PROP-1704,1045,1,1,Suburban,10,0,Yes,9.9,7.0,33.25
PROP-1705,3142,4,3,Urban,27,0,Yes,1.9,6.4,148.55
PROP-1706,3954,4,3,Suburban,31,2,Yes,8.0,7.8,150.8
PROP-1707,725,1,1,Urban,34,0,Yes,5.0,6.1,26.92
PROP-1708,914,1,1,Urban,30,1,Yes,4.3,9.5,44.37
PROP-1709,3152,5,4,Urban,16,1,No,1.7,4.7,155.86
PROP-1710,2469,3,2,Suburban,8,1,Yes,7.4,8.8,98.08
PROP-1711,1367,1,1,Suburban,9,1,Yes,6.9,5.6,52.81
PROP-1712,3432,5,4,Suburban,7,1,Yes,14.9,3.9,133.26
PROP-1713,4105,5,3,Suburban,20,1,Yes,14.5,7.2,155.53
PROP-1714,1500,3,2,Suburban,12,2,Yes,6.7,6.4,65.87
PROP-1715,2040,4,3,Urban,4,2,No,4.4,5.0,102.12
PROP-1716,793,2,1,Suburban,5,0,Yes,7.0,4.1,26.3
PROP-1717,1534,2,1,Urban,29,0,No,6.4,6.8,54.75
PROP-1718,3790,5,4,Urban,30,2,No,6.4,8.4,185.43
PROP-1719,3820,5,4,Suburban,16,1,Yes,14.4,7.7,151.79
PROP-1720,1045,2,1,Urban,10,1,No,6.6,6.9,53.69
PROP-1721,3746,5,4,Urban,19,1,No,5.9,7.6,182.65
PROP-1722,3645,5,4,Suburban,8,0,No,15.9,6.8,129.79
PROP-1723,3588,5,4,Suburban,1,1,Yes,12.8,4.5,139.21
PROP-1724,2142,4,3,Suburban,0,1,Yes,9.7,4.5,90.61
PROP-1725,3872,5,4,Rural,3,1,No,18.7,6.5,117.26
PROP-1726,1817,3,2,Suburban,24,1,Yes,9.9,6.5,67.08
PROP-1727,3266,5,4,Rural,2,2,Yes,25.7,8.2,107.19
PROP-1728,1712,2,2,Urban,8,1,No,2.0,8.0,87.44
PROP-1729,2806,4,3,Suburban,21,0,Yes,9.1,7.8,108.19
PROP-1730,1715,3,2,Rural,22,1,Yes,23.0,6.4,41.76
PROP-1731,1859,2,2,Suburban,11,2,Yes,8.8,4.6,76.03
PROP-1732,3632,4,3,Suburban,9,2,No,13.1,7.5,138.48
PROP-1733,3095,5,3,Urban,33,2,No,6.5,7.6,142.52
PROP-1734,3944,5,3,Urban,9,0,No,5.5,3.0,180.77
PROP-1735,1283,2,2,Suburban,29,2,Yes,14.0,5.5,42.39
PROP-1736,1806,2,2,Urban,21,2,Yes,4.5,5.7,91.56
PROP-1737,3884,5,4,Rural,5,0,Yes,23.3,7.0,115.88
PROP-1738,1888,2,1,Urban,1,1,No,2.1,5.5,91.83
PROP-1739,1382,2,1,Rural,29,1,Yes,30.2,6.7,20.26
PROP-1740,884,2,2,Rural,1,2,No,19.2,6.5,31.08
PROP-1741,3355,5,4,Urban,31,1,No,1.5,6.5,157.75
